52,46,53,51,53,52,45,43,54,51,50,39,53,46,50,65,52,41,53,51
48,56,42,52,42,47,49,54,46,64,45,58,64,53,44,47,40,41,48,60
44,52,63,40,53,61,43,53,49,47,36,51,47,59,58,37,47,53,54,53
48,46,42,47,49,50,62,51,54,47,47,47,49,57,48,49,57,48,41,61
63,53,60,47,51,46,39,59,49,43,47,38,58,43,52,48,47,49,63,45
49,51,35,55,56,62,49,49,50,46,56,57,47,54,57,50,44,48,45,40
54,54,43,47,46,50,58,48,37,40,48,61,54,59,56,43,58,44,53,47
38,53,40,54,57,46,47,58,51,62,42,52,47,46,57,60,49,47,55,39
43,52,40,42,60,78,56,47,43,60,50,45,52,41,49,57,41,52,50,42
49,57,46,57,48,60,66,47,53,56,50,44,41,55,44,46,36,58,37,50
47,41,53,57,53,56,49,56,44,58,48,58,48,31,55,55,56,43,46,46
56,52,48,48,49,44,49,51,43,53,56,46,48,57,49,64,54,30,47,56
42,53,43,54,43,58,58,47,58,47,46,54,36,53,57,61,51,47,44,48
42,51,48,45,50,41,61,52,50,52,58,51,51,29,46,38,72,63,52,48
42,36,49,43,62,54,55,44,57,53,58,56,55,55,47,45,36,49,47,57
51,48,51,50,53,45,66,57,55,50,50,53,53,47,45,36,47,46,43,54
49,43,38,64,47,54,38,42,51,61,50,57,57,55,43,51,54,46,57,43
46,44,47,43,51,47,43,59,48,50,48,55,53,48,57,48,55,53,54,51
52,49,41,64,52,51,47,51,52,43,58,43,49,49,48,41,50,47,57,56
51,45,51,40,38,50,48,43,48,48,67,48,55,40,54,64,46,57,45,62
42,46,48,47,50,55,45,53,45,65,47,47,64,37,57,47,50,59,42,54
47,43,48,53,50,53,62,46,49,49,59,48,45,41,52,55,49,51,51,49
39,51,38,58,60,63,49,47,48,43,48,46,50,70,53,40,46,43,57,51
48,51,57,53,44,42,47,54,47,56,54,43,55,49,42,51,58,50,51,48
52,53,45,50,42,58,45,55,52,57,39,45,56,51,50,48,44,49,54,55
46,43,44,52,58,49,62,50,39,43,56,47,56,40,43,61,60,48,43,60
44,54,58,49,44,61,49,46,47,48,41,44,47,41,63,48,51,44,66,55
57,39,52,50,54,50,41,50,54,48,53,55,61,66,55,47,39,35,36,58
47,46,52,49,60,49,60,46,35,54,56,48,50,54,42,45,55,38,64,50
46,55,50,46,47,52,48,52,62,51,53,43,44,49,50,58,49,52,48,45
